Verb,Description,GUI,WARNING
ToolMeasure, Measurement tool (M),TRUE,WARNING: ignoring verb ToolMeasure - GUI required for this verb.
ToolDropper, Pick colors from image (D),TRUE,WARNING: ignoring verb ToolDropper - GUI required for this verb.
ToolConnector, Create diagram connectors (O),TRUE,WARNING: ignoring verb ToolConnector - GUI required for this verb.
ToolPaintBucket, Fill bounded areas (U),TRUE,WARNING: ignoring verb ToolPaintBucket - GUI required for this verb.
ToolLPE, Edit Path Effect parameters,TRUE,WARNING: ignoring verb ToolLPE - GUI required for this verb.
ToolEraser, Erase existing paths (Shift+E),TRUE,WARNING: ignoring verb ToolEraser - GUI required for this verb.
ToolLPETool, Do geometric constructions,TRUE,WARNING: ignoring verb ToolLPETool - GUI required for this verb.
SelectPrefs, Open Preferences for the Selector tool,TRUE,WARNING: ignoring verb SelectPrefs - GUI required for this verb.
NodePrefs, Open Preferences for the Node tool,TRUE,WARNING: ignoring verb NodePrefs - GUI required for this verb.
TweakPrefs, Open Preferences for the Tweak tool,TRUE,WARNING: ignoring verb TweakPrefs - GUI required for this verb.
SprayPrefs, Open Preferences for the Spray tool,TRUE,WARNING: ignoring verb SprayPrefs - GUI required for this verb.
RectPrefs, Open Preferences for the Rectangle tool,TRUE,WARNING: ignoring verb RectPrefs - GUI required for this verb.
3DBoxPrefs, Open Preferences for the 3D Box tool,TRUE,WARNING: ignoring verb 3DBoxPrefs - GUI required for this verb.
ArcPrefs, Open Preferences for the Ellipse tool,TRUE,WARNING: ignoring verb ArcPrefs - GUI required for this verb.
StarPrefs, Open Preferences for the Star tool,TRUE,WARNING: ignoring verb StarPrefs - GUI required for this verb.
SpiralPrefs, Open Preferences for the Spiral tool,TRUE,WARNING: ignoring verb SpiralPrefs - GUI required for this verb.
PencilPrefs, Open Preferences for the Pencil tool,TRUE,WARNING: ignoring verb PencilPrefs - GUI required for this verb.
PenPrefs, Open Preferences for the Pen tool,TRUE,WARNING: ignoring verb PenPrefs - GUI required for this verb.
CalligraphicPrefs, Open Preferences for the Calligraphy tool,TRUE,WARNING: ignoring verb CalligraphicPrefs - GUI required for this verb.
TextPrefs, Open Preferences for the Text tool,TRUE,WARNING: ignoring verb TextPrefs - GUI required for this verb.
GradientPrefs, Open Preferences for the Gradient tool,TRUE,WARNING: ignoring verb GradientPrefs - GUI required for this verb.
Mesh_Prefs, Open Preferences for the Mesh tool,TRUE,WARNING: ignoring verb Mesh_Prefs - GUI required for this verb.
ZoomPrefs, Open Preferences for the Zoom tool,TRUE,WARNING: ignoring verb ZoomPrefs - GUI required for this verb.
MeasurePrefs, Open Preferences for the Measure tool,TRUE,WARNING: ignoring verb MeasurePrefs - GUI required for this verb.
DropperPrefs, Open Preferences for the Dropper tool,TRUE,WARNING: ignoring verb DropperPrefs - GUI required for this verb.
ConnectorPrefs, Open Preferences for the Connector tool,TRUE,WARNING: ignoring verb ConnectorPrefs - GUI required for this verb.
